GUID;complete;media_language;srt_language;last_changed_on_amara;revision;url;touched;amara_key;amara_language
02146e03-1a07-44f2-83b3-e1fd261a4214;True;eng;en;2020-01-03T16:55:26Z;10;https://mirror.selfnet.de/c3subtitles/congress/34c3/34c3-8784-eng-deu-eMMC_hacking_or_how_I_fixed_long-dead_Galaxy_S3_phones.en.srt;2020-01-03T17:09:09Z;xfh84xqSAJo7;en
825add58-9218-4afe-a489-4dd8c4408e45;True;eng;en;2020-01-03T16:56:26Z;5;https://mirror.selfnet.de/c3subtitles/congress/34c3/34c3-8768-eng-fra-deu-End-to-end_formal_ISA_verification_of_RISC-V_processors_with_riscv-formal.en.srt;2020-01-03T17:08:06Z;IQ6KkHQLjCsO;en
19b7e5d7-bba7-46da-afbc-f16d43fe395f;True;eng;en;2020-01-03T16:57:14Z;6;https://mirror.selfnet.de/c3subtitles/congress/34c3/34c3-9159-eng-fra-deu-Demystifying_Network_Cards.en.srt;2020-01-03T17:10:12Z;KtgyHflnpbZk;en
da934433-0092-4749-b606-56b65e84214f;True;deu;de;2020-01-03T16:58:08Z;10;https://mirror.selfnet.de/c3subtitles/congress/34c3/34c3-9092-deu-eng-Ladeinfrastruktur_fuer_Elektroautos_Ausbau_statt_Sicherheit.de.srt;2020-01-03T17:06:07Z;C5kYpAHBnXWb;de
34fb21bd-34f5-40cc-b081-7fc427c452b6;True;eng;en;2020-01-03T16:59:06Z;7;https://mirror.selfnet.de/c3subtitles/congress/34c3/34c3-9276-eng-spa-deu-Forensic_Architecture.en.srt;2020-01-03T17:11:05Z;i977cquyQqzV;en
12f2dd5b-5e3d-4098-9f10-6c277672b2e0;True;deu;de;2020-01-03T16:59:52Z;68;https://mirror.selfnet.de/c3subtitles/congress/34c3/34c3-9271-deu-Lobby-Schlacht_um_die_ePrivacy-Verordnung.de.srt;2020-01-03T17:10:15Z;iaahmuMq8SIG;de
9326038b-f781-4707-b35a-9ef52f98d35a;True;deu;de;2020-01-03T17:00:42Z;6;https://mirror.selfnet.de/c3subtitles/congress/34c3/34c3-9188-deu-hacking_disaster.de.srt;2020-01-03T17:10:10Z;ydnRCsp0lM3d;de
b036385c-ec1a-44e5-ae48-af703ce9b5d3;True;deu;de;2020-01-03T17:01:38Z;6;https://mirror.selfnet.de/c3subtitles/congress/34c3/34c3-9292-deu-eng-fra-Eroeffnung_tuwat.de.srt;2020-01-03T17:12:05Z;PPH4bpe617nH;de
524a3859-5641-2020-2020-202020202020;True;deu;de;2020-01-04T11:30:10Z;37;https://mirror.selfnet.de/c3subtitles/events/eh2018/eh18-18-deu-EZ_DIY_IoT_w_ESP_Pi.de.srt;2020-01-04T11:45:05Z;30FTovG8DxWp;de
57485454-3356-2020-2020-202020202020;True;deu;de;2020-01-04T11:30:58Z;37;https://mirror.selfnet.de/c3subtitles/events/eh2018/eh18-19-deu-Open_Source_Orgelbau.de.srt;2020-01-04T11:40:06Z;CSSDICOdb8la;de
